variant,opt_steps,success_rate_mean,success_rate_std,avg_time_mean,avg_time_std,peak_mem_mean,peak_mem_std,model_size_mean,model_size_std,num_runs
fp16,10,1.0,,7.7741342834196985,,0.0,,204.9866600036621,,1
fp16,30,1.0,,7.866557283187285,,0.0,,204.9866600036621,,1
mixed_int8,10,1.0,,9.205830599972979,,0.0,,148.30984115600586,,1
mixed_int8,30,1.0,,9.381884241756051,,0.0,,148.30984115600586,,1
uniform_int8,10,1.0,,8.430990224983542,,0.0,,87.71804428100586,,1
uniform_int8,30,1.0,,8.982559833396227,,0.0,,87.71804428100586,,1
