variant,budget_id,seed,success_rate,model_size_mb,mean_state_dist,mean_div_visual_emb,mean_div_proprio_emb,family
encfp16_0,bA,1,0.1,68.12429428100586,13.59606836137554,1841.259033203125,15.229413986206055,other
encfp16_0,bA,2,0.1,68.12429428100586,19.128618391015596,1840.8076171875,29.01289939880371,other
encfp16_100,bA,1,0.2,138.84109115600586,14.656146560897554,309.85455322265625,16.020566940307617,other
encfp16_100,bA,2,0.3,138.84109115600586,10.463034451510339,524.86572265625,12.642227172851562,other
encfp16_25,bA,1,0.0,85.80349349975586,13.095632368305328,1735.1248779296875,18.44170379638672,other
encfp16_25,bA,2,0.1,85.80349349975586,17.75620706510258,1754.5533447265625,21.80731773376465,other
encfp16_50,bA,1,0.2,103.48269271850586,13.545916109647791,1636.9346923828125,12.721429824829102,other
encfp16_50,bA,2,0.1,103.48269271850586,15.563672557499084,1609.2491455078125,24.6878719329834,other
encfp16_75,bA,1,0.0,121.16189193725586,17.4387976416691,1454.3953857421875,11.623772621154785,other
encfp16_75,bA,2,0.1,121.16189193725586,14.751166715335563,1485.843505859375,9.623161315917969,other
fp16,bA,1,0.5,204.9866600036621,10.002760803023003,365.12579345703125,5.1656718254089355,fp16
fp16,bA,2,0.5,204.9866600036621,11.223232786695894,434.38372802734375,6.4917402267456055,fp16
fp16,bA,3,0.6000000000000001,204.9866600036621,7.595059078414069,221.6329345703125,6.783476829528809,fp16
fp16,bB,1,0.6000000000000001,204.9866600036621,7.146664927325423,343.4286804199219,8.972940444946289,fp16
fp16,bB,2,0.7000000000000001,204.9866600036621,7.806786001624166,377.79705810546875,8.612691879272461,fp16
mixed_int3,bA,1,0.0,136.47390365600586,38.16484518120439,1304.6485595703125,73.85499572753906,mixed
mixed_int3,bA,2,0.0,136.47390365600586,34.50221973733937,1272.824462890625,71.53993225097656,mixed
mixed_int3,bA,3,0.0,136.47390365600586,38.40015095576104,1274.7008056640625,74.60936737060547,mixed
mixed_int4,bA,1,0.2,138.84109115600586,14.656146560897554,309.85455322265625,16.020566940307617,mixed
mixed_int4,bA,2,0.3,138.84109115600586,10.463034451510339,524.86572265625,12.642227172851562,mixed
mixed_int4,bA,3,0.3,138.84109115600586,13.095751595619333,332.9654235839844,13.474446296691895,mixed
mixed_int4,bB,1,0.4,138.84109115600586,12.617259901021102,743.588623046875,38.47288513183594,mixed
mixed_int4,bB,2,0.6000000000000001,138.84109115600586,9.623333037650713,617.650146484375,31.689960479736328,mixed
mixed_int8,bA,1,0.5,148.30984115600586,9.7686211273645,369.3316650390625,5.426032066345215,mixed
mixed_int8,bA,2,0.5,148.30984115600586,10.069691757525224,520.0693359375,6.1719183921813965,mixed
mixed_int8,bA,3,0.6000000000000001,148.30984115600586,7.375894522898373,228.0586700439453,7.093570709228516,mixed
uniform_int3,bA,1,0.0,63.22585678100586,44.31091198606273,2107.883056640625,71.51151275634766,uniform
uniform_int3,bA,2,0.0,63.22585678100586,43.660379276384205,2108.49755859375,70.9633560180664,uniform
uniform_int3,bA,3,0.0,63.22585678100586,38.16407076907686,2103.599609375,75.923828125,uniform
uniform_int3,bB,1,0.0,63.22585678100586,46.06631052805982,2119.851806640625,72.5359115600586,uniform
uniform_int3,bB,2,0.0,63.22585678100586,42.64132139017307,2122.989990234375,71.98518371582031,uniform
uniform_int4,bA,1,0.1,68.12429428100586,13.59606836137554,1841.259033203125,15.229413986206055,uniform
uniform_int4,bA,2,0.1,68.12429428100586,19.128618391015596,1840.8076171875,29.01289939880371,uniform
uniform_int4,bA,3,0.0,68.12429428100586,18.28061651547188,1855.965087890625,9.696196556091309,uniform
uniform_int4,bB,1,0.2,68.12429428100586,12.033671482223191,1824.8431396484375,31.80864906311035,uniform
uniform_int4,bB,2,0.2,68.12429428100586,19.43357941374351,1841.4383544921875,37.77631759643555,uniform
uniform_int8,bA,1,0.5,87.71804428100586,11.365164426563926,389.99749755859375,5.797296524047852,uniform
uniform_int8,bA,2,0.5,87.71804428100586,9.79560807826046,508.71929931640625,6.553195953369141,uniform
uniform_int8,bA,3,0.6000000000000001,87.71804428100586,7.171787130670779,221.77674865722656,7.178338050842285,uniform
